"mission","launch_date","window_start_utc","spot_date","day_type","wspr_20m_spots","mean_snr","snr_std","unique_tx","unique_rx","sfi","ssn","kp"
"SARah-1","2022-06-18",14,"2022-06-20","control",129692,-17.29,7.98,653,532,136.5,96,2.21
"SARah-1","2022-06-18",14,"2022-06-21","control",176738,-16.26,8.27,681,530,138.7,96,1.75
"SPHEREx","2025-03-11",3,"2025-03-08","control",137286,-15.45,8.93,777,595,147.5,90,3.33
"SPHEREx","2025-03-11",3,"2025-03-09","control",93694,-15.45,8.89,684,590,147.6,101,4
"SPHEREx","2025-03-11",3,"2025-03-10","control",99630,-15.75,8.94,743,576,149.4,107,2.12
"SPHEREx","2025-03-11",3,"2025-03-11","launch",81572,-16.17,8.96,772,573,161.4,142,2.17
"SPHEREx","2025-03-11",3,"2025-03-12","control",134456,-14.77,9.16,708,590,160.3,157,4.08
"SPHEREx","2025-03-11",3,"2025-03-13","control",38367,-17.1,8.65,651,502,175.9,173,4.46
"SPHEREx","2025-03-11",3,"2025-03-14","control",85950,-15.87,8.88,786,571,180.1,182,3.42
"Sentinel-6B","2025-11-17",5,"2025-11-14","control",65701,-15.4,9.34,666,575,145.3,103,0.71
"Sentinel-6B","2025-11-17",5,"2025-11-15","control",54480,-15.31,9.39,668,587,132.3,100,1.96
"Sentinel-6B","2025-11-17",5,"2025-11-16","control",70547,-15.53,9.44,746,634,132.3,71,3.17
"Sentinel-6B","2025-11-17",5,"2025-11-17","launch",97285,-16.02,8.94,787,632,122.3,57,2.13
"Sentinel-6B","2025-11-17",5,"2025-11-18","control",66213,-15.37,9.48,673,605,120.1,62,0.92
"Sentinel-6B","2025-11-17",5,"2025-11-19","control",58636,-15.24,9.46,600,573,122.5,54,0.42
"Sentinel-6B","2025-11-17",5,"2025-11-20","control",57532,-15.14,9.39,566,574,121.4,59,1.5
"Starlink 5-2","2023-01-19",15,"2023-01-16","control",241691,-13.21,9.3,761,593,228.1,190,2.58
"Starlink 5-2","2023-01-19",15,"2023-01-17","control",255903,-13.66,9.35,789,584,221.7,188,1.13
"Starlink 5-2","2023-01-19",15,"2023-01-18","control",261333,-13.52,9.22,774,578,220.3,195,2.67
"Starlink 5-2","2023-01-19",15,"2023-01-19","launch",261451,-13.8,9.17,758,609,226.1,205,1.38
"Starlink 5-2","2023-01-19",15,"2023-01-20","control",224279,-13.74,9.41,756,592,217.5,206,1.29
"Starlink 5-2","2023-01-19",15,"2023-01-21","control",234916,-13.62,9.32,796,600,208.7,195,2.92
"Starlink 5-2","2023-01-19",15,"2023-01-22","control",213522,-13.78,9.34,777,587,198.6,166,2.12
"Transporter-10","2024-03-04",22,"2024-03-01","control",140327,-15.07,8.6,716,529,152.8,117,1.71
"Transporter-10","2024-03-04",22,"2024-03-02","control",131044,-14.81,8.84,711,484,152.3,96,1
"Transporter-10","2024-03-04",22,"2024-03-03","control",114866,-14.76,8.63,724,517,145.5,102,3.5
"Transporter-10","2024-03-04",22,"2024-03-04","launch",138574,-15.25,8.32,697,472,139.9,109,1.92
"Transporter-10","2024-03-04",22,"2024-03-05","control",142155,-15.28,8.45,675,477,141.5,110,1.46
"Transporter-10","2024-03-04",22,"2024-03-06","control",147210,-15.52,8.52,657,476,136,100,1.21
"Transporter-10","2024-03-04",22,"2024-03-07","control",145663,-14.9,8.3,691,496,136.6,96,2.5
"Transporter-13","2025-03-15",6,"2025-03-12","control",158269,-14.92,9.36,865,642,160.3,157,4.08
"Transporter-13","2025-03-15",6,"2025-03-13","control",68706,-16.4,8.9,719,581,175.9,173,4.46
"Transporter-13","2025-03-15",6,"2025-03-14","control",128315,-14.22,9.43,827,637,180.1,182,3.42
"Transporter-13","2025-03-15",6,"2025-03-15","launch",138993,-14.78,9.29,816,627,177.9,183,2.83
"Transporter-13","2025-03-15",6,"2025-03-16","control",245897,-13.69,9.28,832,625,185.8,206,2.12
"Transporter-13","2025-03-15",6,"2025-03-17","control",215843,-14.21,9.11,835,633,203.5,205,2.83
"Transporter-13","2025-03-15",6,"2025-03-18","control",248444,-13.97,9.01,837,649,184,196,2.54
"Transporter-8","2023-06-12",21,"2023-06-09","control",217580,-15.84,8.36,751,508,164.3,167,0.71
"Transporter-8","2023-06-12",21,"2023-06-10","control",236704,-15.22,8.7,820,518,161.2,148,0.92
"Transporter-8","2023-06-12",21,"2023-06-11","control",193797,-15.96,8.49,808,522,153.8,146,2.08
"Transporter-8","2023-06-12",21,"2023-06-12","launch",175713,-16.91,8.25,797,501,146.1,114,1.5
"Transporter-8","2023-06-12",21,"2023-06-13","control",172544,-16.86,7.9,784,515,146.3,93,1.29
"Transporter-8","2023-06-12",21,"2023-06-14","control",200811,-16.07,8.24,755,498,143.5,117,0.75
"Transporter-8","2023-06-12",21,"2023-06-15","control",171157,-15.71,8.32,767,529,153.1,122,3.21
"Transporter-9","2023-11-11",18,"2023-11-08","control",177058,-13.7,9.3,657,516,145.7,113,2.87
"Transporter-9","2023-11-11",18,"2023-11-09","control",180925,-13.74,9.33,676,508,138.7,99,2.42
"Transporter-9","2023-11-11",18,"2023-11-10","control",182128,-13.39,9.55,744,517,143.9,94,1.96
"Transporter-9","2023-11-11",18,"2023-11-11","launch",163185,-14.13,9.37,803,503,141.5,81,0.96
"Transporter-9","2023-11-11",18,"2023-11-12","control",201139,-14.35,8.95,823,547,137.2,82,1.88
"Transporter-9","2023-11-11",18,"2023-11-13","control",192973,-14.05,9.22,844,528,132.7,73,2.42
"Transporter-9","2023-11-11",18,"2023-11-14","control",202286,-13.69,9.34,822,525,123.8,60,1.33
